0;636;13,73413;0;756;2;0;30;2,818965
1;421;14,59409;0;1439;2;0;24;3,590626
2;262;15,78006;0;2589;2;0;30;4,125046
3;495;15,00611;0;3268;2;0;30;3,246006
4;268;5,202054;0;4213;1;0;24;3,998007
5;348;14,89408;0;4828;2;0;28;3,675202
6;332;7,108072;0;5205;1;0;0;3,712901
7;282;5,696046;0;5761;1;0;14;3,907066
8;616;3,810086;0;7622;1;0;30;2,513035
9;114;5,818017;0;7918;1;0;24;4,590807
10;437;14,5301;0;9513;2;0;18;3,173117
11;42;-1,148;0;9747;0;0;30;4,829059
12;419;14,6101;0;10530;2;0;26;3,259187
13;167;6,156027;0;11380;1;0;30;4,311319
14;444;15,8061;0;12210;2;0;20;3,109941
15;1228;2,107932;0;13748;1;1;28;0
16;59;8,788001;0;14227;1;0;30;4,760683
17;252;5,266057;0;14778;1;0;30;3,963536
18;486;15,98408;0;15436;2;0;18;3,077871
19;111;5,830016;0;16123;1;0;24;4,563057
20;301;15,07407;0;16604;2;0;30;3,789163
21;338;15,67208;0;17100;2;0;26;3,687081
22;1263;4,951991;0;18946;1;5;0;0
23;229;5,358052;0;20234;1;0;26;4,079001
24;401;15,23207;0;21071;2;0;30;3,40882
25;185;5,534039;0;21478;1;0;0;4,266774
26;433;14,5461;0;21964;2;0;24;3,300469
27;188;5,522023;0;22366;1;0;30;4,24463
28;273;7,14806;0;22904;1;0;0;3,815292
29;252;15,27006;0;23209;2;0;20;3,919077
30;700;3,474001;0;24380;1;0;22;3,528888
31;113;5,822009;0;24582;1;0;30;4,507994
32;95;6,444015;0;25177;1;0;26;4,590676
33;307;15,05007;0;26016;2;0;26;3,691941
34;355;15,95808;0;26687;2;0;30;3,548908
35;421;14,5941;0;27382;2;0;22;3,304809
36;552;6,42401;0;29174;1;0;30;2,771951
37;29;-3,846;0;29665;0;0;28;4,882967
38;229;7,520044;0;30002;1;0;30;4,06258
39;312;15,03008;0;30944;2;0;24;3,792269
40;109;5,838017;0;31082;1;0;28;4,562936
41;420;14,59809;0;31605;2;0;30;3,305073
42;471;14,39412;0;32194;2;0;30;3,079394
43;578;15,62415;0;33230;2;0;28;2,244223
44;100;5,874005;0;33550;1;0;30;4,595815
45;188;5,52204;0;33989;1;0;0;4,256086
46;325;14,97808;0;34380;2;0;30;3,68599
47;419;5,148108;0;34889;1;0;28;3,192155
48;50;-1,18;0;34974;0;0;30;4,783758
49;277;15,17006;0;35646;2;0;22;3,899177
50;1191;-0,9160722;0;37411;1;2;0;0
51;193;5,502043;0;38003;1;0;28;4,161073
52;602;14,97808;0;39242;2;0;30;2,400003
53;376;-2,483994;0;39675;0;0;30;3,381063
54;448;14,48612;0;40676;2;0;28;3,062972
55;91;5,910014;0;41154;1;0;30;4,604058
56;371;14,79408;0;41768;2;0;22;3,375295
57;258;5,242045;0;42268;1;0;22;3,950944
58;354;15,60808;0;42729;2;0;18;3,57269
59;193;5,502022;0;43129;1;0;28;4,167812
60;236;5,330057;0;43829;1;0;28;3,97627
61;166;16,36003;0;44767;2;0;30;4,277055
62;764;3,217986;0;46124;1;0;26;1,701754
63;226;7,216052;0;46732;1;0;30;4,02372
64;282;5,146059;0;47657;1;0;30;3,776951
65;509;4,788111;0;48497;1;0;8;2,806994
66;300;5,07404;0;49222;1;0;30;3,707096
67;99;5,878016;0;49408;1;0;26;4,57896
