fitness=4.135824;error=0.01653883
fitness=5.040221;error=0.01470278
fitness=4.13661;error=0.01462384
fitness=5.043215;error=0.01492917
fitness=4.360432;error=0.01534917
fitness=6.022626;error=0.01276472
fitness=5.119446;error=0.008226026
fitness=6.892614;error=0.01193685
fitness=6.035225;error=0.01230783
fitness=4.264038;error=0.009163462
fitness=5.103418;error=0.01145289
fitness=6.173856;error=0.009245834
fitness=5.228416;error=0.0132613
fitness=7.91403;error=0.01563923
fitness=4.160212;error=0.01180551
fitness=5.14605;error=0.009885782
fitness=5.334248;error=0.01075559
fitness=6.970029;error=0.0114369
fitness=5.138235;error=0.01145206
fitness=3.405995;error=0.01060726
fitness=5.196036;error=0.01140972
fitness=5.22344;error=0.01286895
fitness=5.984406;error=0.008087644
fitness=4.301991;error=0.01074718
fitness=8.053655;error=0.008781125
fitness=5.140396;error=0.008120858
fitness=6.979042;error=0.00954738
fitness=5.959016;error=0.00914853
fitness=4.146004;error=0.01073479
fitness=5.079636;error=0.007625634
fitness=7.840055;error=0.007332784
fitness=5.979616;error=0.01111215
fitness=4.226418;error=0.009403665
fitness=6.95682;error=0.008055872
fitness=6.029247;error=0.008315038
fitness=4.248194;error=0.008038169
fitness=5.255066;error=0.006932894
fitness=3.415192;error=0.007647595
fitness=4.232621;error=0.0090481
fitness=5.997655;error=0.007706702
fitness=6.953265;error=0.009476234
fitness=4.244429;error=0.005891208
fitness=5.177604;error=0.006101693
fitness=5.107821;error=0.006990166
fitness=6.022037;error=0.0397309
fitness=6.938837;error=0.006654529
fitness=7.036051;error=0.007326007
fitness=6.953075;error=0.005022673
fitness=7.078617;error=0.006525695
fitness=5.983622;error=0.008277577
