0;47;-3,918;0;0;30;4,777432
1;1302;22,72416;3;0;4;0,1182954
2;74;5,978005;1;0;30;4,633852
3;908;35,38821;4;5;30;1,130869
4;1040;12,46799;2;3;0;0
5;701;16,23215;2;0;26;1,813189
6;755;35,61616;4;3;30;1,70402
7;163;7,376007;1;0;28;4,105979
8;87;8,872001;1;0;30;4,551013
9;1069;34,7602;4;4;30;3,155269
10;762;10,00413;2;0;30;1,792368
11;1402;13,64012;2;0;0;2,430919
12;975;36,32024;4;5;26;0,9715558
13;740;37,0722;4;3;20;1,805977
14;1079;32,34415;4;1;26;4,611972
15;753;26,02019;3;0;0;1,322092
16;384;4,738075;1;0;30;3,232013
17;38;6,868003;1;0;30;4,73206
18;881;35,49621;4;5;24;0,5387808
19;598;35,83616;4;5;30;1,882734
20;823;35,14019;4;5;18;3,297093
21;669;35,34809;4;5;2;1,057985
22;410;15,39605;2;0;28;2,670045
23;804;37,20815;4;5;26;3,242063
24;743;36,6602;4;2;8;0,6308791
25;15;-2,298;0;0;30;4,887092
26;13;-3,036;0;0;30;4,906976
27;488;37,27211;4;5;30;1,757943
28;16;-2,302;0;0;30;4,866991
29;539;37,66412;4;4;30;1,890929
30;730;35,7161;4;2;12;1,129136
31;14;-3,04;0;0;30;4,911008
32;1164;33,78431;4;4;0;1,634362
33;12;-2,482;0;0;30;4,901427
34;944;14,86806;2;0;26;1,256314
35;716;12,18804;2;0;0;0,4254013
36;18;-1,564;0;0;30;4,843194
37;559;37,58413;4;4;22;1,440912
38;562;16,78008;2;0;0;1,233589
39;888;36,87225;4;5;10;2,903381
40;498;16,24409;2;0;10;1,657524
41;100;-1,380001;0;0;30;4,385336
42;631;37,90012;4;5;24;1,755622
43;676;36,31612;4;5;30;0,9420871
44;573;32,94811;4;5;30;1,537953
45;784;10,89615;2;5;0;0
46;686;30,71609;4;1;30;0,7993569
47;992;22,72617;3;0;30;2,069177
48;447;27,65211;3;0;30;3,399519
49;292;4,167967;1;0;24;1,023088
50;525;35,93207;4;5;16;0,9949143
51;224;16,03604;2;0;16;2,896612
52;71;-2,522;0;0;30;4,397271
53;56;-1,912;0;0;30;4,473975
54;738;37,07219;4;5;20;0,8405464
55;568;36,56013;4;4;30;1,811818
56;639;17,06018;2;3;0;0
57;14;-2,294;0;0;30;4,850949
58;823;36,92818;4;5;30;0,009190945
59;543;35,85213;4;4;26;1,477861
60;613;32,78806;4;5;30;0,9148661
61;1004;29,84408;4;2;10;2,361907
62;621;36,53617;4;5;26;0,04721475
63;14;-2,294;0;0;30;4,852864
64;715;25,17602;3;0;22;1,401005
65;551;14,82811;2;0;26;1,917061
66;724;36,35207;4;4;26;0,5513255
67;25;-2,338;0;0;30;4,784955
68;792;25,87214;3;3;26;0
69;494;38,24413;4;5;30;1,554528
70;655;25,8081;3;5;4;0
71;174;-1,676;0;0;16;3,619688
72;576;23,97809;3;0;30;1,161065
73;439;38,46412;4;5;30;2,089048
74;302;6,820024;1;0;8;2,335054
75;1100;35,45221;4;3;30;3,706245
76;371;25,1481;3;3;6;0
77;477;34,32813;4;5;0;3,956974
78;20;-2,056;0;0;30;4,71283
79;15;-0,806;0;0;30;4,77033
80;17;-2,306;0;0;30;4,776198
81;703;33,44004;4;4;30;2,076745
82;1001;33,43211;4;5;24;0,9387186
83;464;18,35612;2;5;30;0
84;285;17,88806;2;0;30;2,526422
85;765;22,18414;3;1;26;0
86;979;32,52427;4;5;12;0,7839437
87;549;35,03612;4;5;30;1,042999
88;467;35,16811;4;4;16;1,200829
89;472;32,56807;4;2;2;1,505178
90;591;36,27216;4;5;26;3,73412
91;448;34,84411;4;3;24;1,213533
92;111;6,792011;1;0;30;3,369073
